Library Plate,Source well,Library Name,SMILES,Code,Volume (ul),Concentration (mM),external_ID,stereochemistry,catalog_ID,Batch ID,"Amount, mg (left)"
1181202-Y4-01,W05,20200513_enamine_to_xchem.csv,COC=1C=NC=C(C(N(C(=O)C=C)C=2C=CC(=CC2)C(C)(C)C)C(=O)NC(C)(C)C)C1C,Z4457849246,4,100,,Racemic or presumed racemic or meso,Z4457849246,UNK,UNK
1181202-Y4-01,D05,20200513_enamine_to_xchem.csv,COC(=O)[C@@H]1CC[C@@H](C1)NC(=O)C(N(C(=O)C=C)C=2C=CC(=CC2)C(C)(C)C)C=3C=CC=NC3,Z4457944475,4,100,,Diastereomeric mixture,Z4457944475,UNK,UNK
1181202-Y4-01,AD05,20200513_enamine_to_xchem.csv,COC=1C=NC=C(C1)C(N(C(=O)C=C)C=2C=CC(=CC2)C(C)(C)C)C(=O)NC(C)(C)C,Z4457849245,4,100,,Racemic or presumed racemic or meso,Z4457849245,UNK,UNK
1181202-Y4-01,AE06,20200513_enamine_to_xchem.csv,CC=1N=CC=CC1C(N(C(=O)C=C)C=2C=CC(=CC2)C(C)(C)C)C(=O)NC(C)(C)C,Z4457849243,4,100,,Racemic or presumed racemic or meso,Z4457849243,UNK,UNK
1181202-Y4-01,AB05,20200513_enamine_to_xchem.csv,CC=1C=CN=CC1C(N(C(=O)C=C)C=2C=CC(=CC2)C(C)(C)C)C(=O)NC(C)(C)C,Z4457849248,4,100,,Racemic or presumed racemic or meso,Z4457849248,UNK,UNK
1181202-Y4-01,Z05,20200513_enamine_to_xchem.csv,CC(C)(C)NC(=O)C(N(C(=O)C=C)C=1C=CC(=CC1)C(C)(C)C)C=2C=NC=C(C2)C(C)(F)F,Z4457849247,4,100,,Racemic or presumed racemic or meso,Z4457849247,UNK,UNK
1181202-Y4-01,X05,20200513_enamine_to_xchem.csv,CCOC=1C=NC=C(C1)C(N(C(=O)C=C)C=2C=CC(=CC2)C(C)(C)C)C(=O)NC(C)(C)C,Z4457849244,4,100,,Racemic or presumed racemic or meso,Z4457849244,UNK,UNK
1181202-Y4-01,Q05,20200513_enamine_to_xchem.csv,COC=1C=CC(NC(=O)C(N(C(=O)C=C)C=2C=CC(=CC2)C(C)(C)C)C=3C=CC=NC3)=C(OC)C1,Z4457849232,4,100,,Racemic or presumed racemic or meso,Z4457849232,UNK,UNK
1181202-Y4-01,P05,20200513_enamine_to_xchem.csv,CC(C)(C)C=1C=CC(=CC1)N(C(C(=O)NCCC=2C=CC=C(F)C2)C=3C=CC=NC3)C(=O)C=C,Z4457849234,4,100,LON-POS-586a7c45-1,Racemic or presumed racemic or meso,Z4457849234,UNK,UNK
1181202-Y4-01,F07,20200513_enamine_to_xchem.csv,CC(C)(C)C=1C=CC(=CC1)N(C(C(=O)NC=2C=CC(F)=CC2)C=3C=CC=NC3)C(=O)C=C,Z4457849228,4,100,,Racemic or presumed racemic or meso,Z4457849228,UNK,UNK
1181202-Y4-01,A07,20200513_enamine_to_xchem.csv,CC(C)(C)C=1C=CC(=CC1)N(C(C(=O)NC2CC2)C=3C=CC=NC3)C(=O)C=C,Z4457849231,4,100,,Racemic or presumed racemic or meso,Z4457849231,UNK,UNK
1181202-Y4-01,AC05,20200513_enamine_to_xchem.csv,CC(C)(C)NC(=O)C(N(C(=O)C=C)C=1C=CC(=CC1)C(C)(C)C)C2=CN=CN2,Z4457849236,4,100,,Racemic or presumed racemic or meso,Z4457849236,UNK,UNK
