SMILES,external_ID,CDD_ID,shipment_ID,catalog_ID,purity,volume(uL),concentration(mM),plate_ID,well,stereochemistry,PostEra_comments,Batch ID,"Amount, mg (left)"
CC(C)(C)NC(=O)C(N(C(=O)C=C)C=1C=CC=2N=CSC2C1)C=3C=CC=NC3,LON-WEI-b8d98729-31,CVD-0001895,Z4439011608,Z4439011608,100.0,40,10.0,1169103-Y40-01,A03,,,UNK,UNK
CC(C)C=1C=CC(=CN1)N(C(C(=O)NC(C)(C)C)C=2C=CC=NC2)C(=O)C=C,LON-WEI-b8d98729-32,CVD-0001896,Z4439011614,Z4439011614,81.29,40,10.0,1169103-Y40-01,B03,,,UNK,UNK
COC=1C=CC(NC(=O)C(N(C(=O)C=C)C=2C=CC=3N=CSC3C2)C=4C=CC=NC4)=C(C)C1,LON-WEI-b8d98729-1,CVD-0001872,Z4438424252,Z4438424252,100.0,40,10.0,1169103-Y40-01,C03,,,UNK,UNK
COC=1C=CC(NC(=O)C(N(C(=O)C=C)C=2C=CC(=CC2)C(F)(F)F)C=3C=CC=NC3)=CC1,LON-WEI-b8d98729-27,CVD-0001891,Z4439011539,Z4439011539,100.0,40,10.0,1169103-Y40-01,D03,,,UNK,UNK
CCC=1C=CC=C(C)C1NC(=O)C(N(C(=O)C=C)C=2C=CC(SC)=CC2)C=3C=CC=NC3,LON-WEI-b8d98729-2,CVD-0001883,Z4439011579,Z4439011579,82.98,40,10.0,1169103-Y40-01,E03,,,UNK,UNK
CCC(C)(C)C=1C=CC(=CC1)N(C(C(=O)NC=2C=CC(Cl)=CC2)C=3C=CC=NC3)C(=O)C=C,LON-WEI-b8d98729-33,CVD-0001897,Z4438424288,Z4438424288,90.91,40,10.0,1169103-Y40-01,F03,,,UNK,UNK
COC=1C=CC(NC(=O)C(N(C(=O)C=C)C=2C=CC(=CC2)C(F)(F)F)C=3C=CC=NC3)=C(C)C1,LON-WEI-b8d98729-37,CVD-0001900,Z4438424251,Z4438424251,95.38,40,10.0,1169103-Y40-01,G03,,,UNK,UNK
CCC=1C=CC=C(NC(=O)C(N(C(=O)C=C)C=2C=CC=3N=CSC3C2)C=4C=CC=NC4)C1,LON-WEI-b8d98729-38,CVD-0001901,Z4438424262,Z4438424262,92.91,40,10.0,1169103-Y40-01,H03,,,UNK,UNK
CS(=O)(=O)CC1=CC=C(O1)C(=O)NC=2C=CC=NC2,ANT-DIA-3c79be55-4,CVD-0000150,ANT-DIA-3c7-4,Z995832158,100.0,40,10.0,1169103-Y40-01,I03,,,UNK,UNK
ClC1=CC=C(CC(=O)NC=2C=CC=NC2)S1,DAR-DIA-842b4336-13,CVD-0000743,DAR-DIA-842-13,Z2010253653,100.0,40,10.0,1169103-Y40-01,J03,,,UNK,UNK
ClC=1C=CN=C(CNC(=O)CC2=CNC=3N=CC=CC23)C1,TRY-UNI-1fd04853-9,CVD-0003613,TRY-UNI-1fd-9,Z1575152133,100.0,40,10.0,1169103-Y40-01,K03,,,UNK,UNK
O=C(CC1=CNC=2N=CC=CC12)NCC=3C=CC(C#N)=CC3,TRY-UNI-1fd04853-8,CVD-0003612,TRY-UNI-1fd-8,Z1400838206,100.0,40,10.0,1169103-Y40-01,L03,,,UNK,UNK
CC=1C=CN=CC1NC(=O)CC=2C=CC=C(Cl)C2,TRY-UNI-714a760b-6,CVD-0003631,TRY-UNI-714-6,Z1129289650,100.0,40,10.0,1169103-Y40-01,M03,,,UNK,UNK
ClC=1C=CC(CNC(=O)CC2=CNC=3N=CC=CC23)=CC1,TRY-UNI-1fd04853-7,CVD-0003611,TRY-UNI-1fd-7,Z1400780364,100.0,40,10.0,1169103-Y40-01,N03,,,UNK,UNK
ClC=1C=CC=C(NC(=O)CC2=CNC=3N=CC=CC23)C1,DAR-DIA-23aa0b97-12,CVD-0000703,DAR-DIA-23a-12,Z1400781098,97.6,40,10.0,1169103-Y40-01,O03,,,UNK,UNK
CC(C(=O)NC=1C=NC=CC1C)C=2C=CC=C(Cl)C2,TRY-UNI-714a760b-18,CVD-0003621,TRY-UNI-714-18,Z1264525706,96.64,40,10.0,1169103-Y40-01,P03,,,UNK,UNK
ClC=1C=CC=C(CNC(=O)CC2=CNC=3N=CC=CC23)C1,TRY-UNI-1fd04853-5,CVD-0003609,TRY-UNI-1fd-5,Z1400783129,95.0,40,10.0,1169103-Y40-01,A04,,,UNK,UNK
CC(=O)N1CCN(CC=2C=CC=C(C#N)C2)CC1,PAT-UNK-b2d83456-1,CVD-0003022,PAT-UNK-b2d-1,Z46180946,97.0,40,10.0,1169103-Y40-01,B04,,,UNK,UNK
O=C(NC=1C=CC=NC1)NC=2C=CC=C(C#N)C2,DAR-DIA-23aa0b97-5,CVD-0000138,WAR-XCH-eb7-1,Z195739680,100.0,40,10.0,1169103-Y40-01,C04,,,UNK,UNK
O=C(NC=1C=CC(C#N)=CC1)NC=2C=CC=NC2,ANN-UNI-26382800-3,CVD-0000137,ANN-UNI-263-3,Z195735586,98.17,40,10.0,1169103-Y40-01,D04,,,UNK,UNK
OC=1C=CC(Cl)=CC1C(=O)NC=2C=CC=NC2,CHR-SOS-7098f804-11,CVD-0000587,CHR-SOS-709-11,Z280470232,100.0,40,10.0,1169103-Y40-01,E04,,,UNK,UNK
OC=1C=CC(Cl)=CC1C(=O)NC=2C=CC=CC2,CHR-SOS-7098f804-7,CVD-0000603,CHR-SOS-709-7,Z56871780,90.16,40,10.0,1169103-Y40-01,F04,,,UNK,UNK
CC(=O)N1CCN(CC1)S(=O)(=O)C=2C=CC=C(F)C2,MAK-UNK-6435e6c2-5,CVD-0002229,MAK-UNK-643-5,Z30722976,100.0,40,10.0,1169103-Y40-01,G04,,,UNK,UNK
CS(=O)(=O)NC=1C=CC=C(C1)C(=O)NC=2C=CC=C(C2)N3CCCC3=O,MAK-UNK-9159f8ed-6,CVD-0002335,MAK-UNK-915-6,Z102622686,97.29,40,10.0,1169103-Y40-01,H04,,,UNK,UNK
ClC=1C=CC=C(C1)C(=O)NC=2C=CC=NC2,CHR-SOS-7098f804-12,CVD-0000588,CHR-SOS-709-12,Z31791487,91.0,40,10.0,1169103-Y40-01,I04,,,UNK,UNK
CC(C(=O)O)C=1C=CC2=C(C1)NC=3C=CC(Cl)=CC32,MAK-UNK-0d6072ac-4,CVD-0001267,GER-UNI-ec7-1,Z1530425063,100.0,40,10.0,1169103-Y40-01,J04,,,UNK,UNK
CCCNC(=O)C(C)NC(=O)N(C)CC1=CSC(C)=N1,ALE-UNK-fca05062-9,CVD-0000093,ALE-UNK-fca-9,Z900735246,95.48,40,10.0,1169103-Y40-01,K04,,,UNK,UNK
O=C(C=CC=CC=1C=CC=2OCOC2C1)N3CCCCC3,LON-WEI-b8d98729-3,CVD-0001864,Piperine,Z104476830,100.0,40,10.0,1169103-Y40-01,L04,,imperfect stereochemical match for LON-WEI-b8d98729-3,UNK,UNK
COC=1C=CC=2NC=C(CCNS(=O)(=O)C)C2C1,MAR-UNI-9ca61fdc-1,CVD-0002690,MAR-UNI-9ca-1,Z1316790959,100.0,40,10.0,1169103-Y40-01,M04,,,UNK,UNK
CC=1C=CN=C(NC(=O)CC=2C=CC=3C=CC=CC3C2)C1,ALV-UNI-7ff1a6f9-45,CVD-0004070,LV-UNI-7ff-45,Z71390073,96.93,40,10.0,1169103-Y40-01,N04,,,UNK,UNK
CC(=O)N1CCN(CC1)S(=O)(=O)C2=CC=CS2,MAK-UNK-6435e6c2-1,CVD-0002225,MAK-UNK-643-1,Z29501928,92.56,40,10.0,1169103-Y40-01,O04,,,UNK,UNK
CC(C)N(C)C(=O)C1CCN(CC1)C(=O)CCl,VIR-GIT-7b3d3065-3,CVD-0003677,VIR-GIT-7b3-3,Z561717446,96.19,40,10.0,1169103-Y40-01,P04,,,UNK,UNK
OC=1C=CC(Cl)=CC1C(=O)NC=2C=CC=CC2Cl,CHR-SOS-7098f804-4,CVD-0000600,CHR-SOS-709-4,Z241957544,100.0,40,10.0,1169103-Y40-01,A05,,,UNK,UNK
ClCC(=O)N1CCC(CC1)C(=O)N2CCCCC2,VIR-GIT-7b3d3065-2,CVD-0003676,VIR-GIT-7b3-2,Z291278798,97.83,40,10.0,1169103-Y40-01,B05,,,UNK,UNK
