SMILES,external_ID,CDD_ID,shipment_ID,catalog_ID,purity,volume(uL),concentration(mM),plate_ID,well,stereochemistry,PostEra_comments
Cl.ClCC(=O)N1CCOC=2C=CC=C(C=3C=CC=NC3)C12,TIM-UNK-6bd61028-2,CVD-0003590,TIM-UNK-6bd-2,Z4524547979,100.0,0.5,20,1178796-500NL-04,01_A,Achiral,
Cl.ClCC(=O)N1CCOC=2C=CC=C(C=3C=CC=NC3)C12,TIM-UNK-6bd61028-2,CVD-0003590,TIM-UNK-6bd-2,Z4524547979,100.0,0.5,20,1178796-500NL-04,01_B,Achiral,
Cl.ClCC(=O)N1CCOC=2C=CC=C(C=3C=CC=NC3)C12,TIM-UNK-6bd61028-2,CVD-0003590,TIM-UNK-6bd-2,Z4524547979,100.0,0.5,20,1178796-500NL-04,02_A,Achiral,
Cl.ClCC(=O)N1CCOC=2C=CC=C(C=3C=CC=NC3)C12,TIM-UNK-6bd61028-2,CVD-0003590,TIM-UNK-6bd-2,Z4524547979,100.0,0.5,20,1178796-500NL-04,02_B,Achiral,
Cl.ClCC(=O)N1CCOC=2C=CC=C(C=3C=CC=NC3)C12,TIM-UNK-6bd61028-2,CVD-0003590,TIM-UNK-6bd-2,Z4524547979,100.0,0.5,20,1178796-500NL-04,03_A,Achiral,
Cl.ClCC(=O)N1CCOC=2C=CC=C(C=3C=CC=NC3)C12,TIM-UNK-6bd61028-2,CVD-0003590,TIM-UNK-6bd-2,Z4524547979,100.0,0.5,20,1178796-500NL-04,03_B,Achiral,
ClCC(=O)NC1=NC=2C(=CC=CC2S1)S(=O)(=O)NCCC=3C=CC=CC3,DUN-NEW-f8ce3686-23,CVD-0001112,DUN-NEW-f8c-23,Z4461624206,100.0,0.5,20,1178796-500NL-04,04_A,Achiral,
ClCC(=O)NC1=NC=2C(=CC=CC2S1)S(=O)(=O)NCCC=3C=CC=CC3,DUN-NEW-f8ce3686-23,CVD-0001112,DUN-NEW-f8c-23,Z4461624206,100.0,0.5,20,1178796-500NL-04,04_B,Achiral,
ClCC(=O)NC1=NC=2C(=CC=CC2S1)S(=O)(=O)NCCC=3C=CC=CC3,DUN-NEW-f8ce3686-23,CVD-0001112,DUN-NEW-f8c-23,Z4461624206,100.0,0.5,20,1178796-500NL-04,05_A,Achiral,
ClCC(=O)NC1=NC=2C(=CC=CC2S1)S(=O)(=O)NCCC=3C=CC=CC3,DUN-NEW-f8ce3686-23,CVD-0001112,DUN-NEW-f8c-23,Z4461624206,100.0,0.5,20,1178796-500NL-04,05_B,Achiral,
ClCC(=O)NC1=NC=2C(=CC=CC2S1)S(=O)(=O)NCCC=3C=CC=CC3,DUN-NEW-f8ce3686-23,CVD-0001112,DUN-NEW-f8c-23,Z4461624206,100.0,0.5,20,1178796-500NL-04,06_A,Achiral,
ClCC(=O)NC1=NC=2C(=CC=CC2S1)S(=O)(=O)NCCC=3C=CC=CC3,DUN-NEW-f8ce3686-23,CVD-0001112,DUN-NEW-f8c-23,Z4461624206,100.0,0.5,20,1178796-500NL-04,06_B,Achiral,
ClCC(=O)N1CCN(CC=2C=CC=C(Cl)C2)CC1CC=3C=CC=CC3,DAN-LON-a5fc619e-10,CVD-0000647,DAN-LON-a5f-10,Z4461624350,95.0,0.5,20,1178796-500NL-04,07_A,Racemic or presumed racemic or meso,imperfect stereochemical match for DAN-LON-a5fc619e-10
ClCC(=O)N1CCN(CC=2C=CC=C(Cl)C2)CC1CC=3C=CC=CC3,DAN-LON-a5fc619e-10,CVD-0000647,DAN-LON-a5f-10,Z4461624350,95.0,0.5,20,1178796-500NL-04,07_B,Racemic or presumed racemic or meso,imperfect stereochemical match for DAN-LON-a5fc619e-10
ClCC(=O)N1CCN(CC=2C=CC=C(Cl)C2)CC1CC=3C=CC=CC3,DAN-LON-a5fc619e-10,CVD-0000647,DAN-LON-a5f-10,Z4461624350,95.0,0.5,20,1178796-500NL-04,08_A,Racemic or presumed racemic or meso,imperfect stereochemical match for DAN-LON-a5fc619e-10
ClCC(=O)N1CCN(CC=2C=CC=C(Cl)C2)CC1CC=3C=CC=CC3,DAN-LON-a5fc619e-10,CVD-0000647,DAN-LON-a5f-10,Z4461624350,95.0,0.5,20,1178796-500NL-04,08_B,Racemic or presumed racemic or meso,imperfect stereochemical match for DAN-LON-a5fc619e-10
ClCC(=O)N1CCN(CC=2C=CC=C(Cl)C2)CC1CC=3C=CC=CC3,DAN-LON-a5fc619e-10,CVD-0000647,DAN-LON-a5f-10,Z4461624350,95.0,0.5,20,1178796-500NL-04,09_A,Racemic or presumed racemic or meso,imperfect stereochemical match for DAN-LON-a5fc619e-10
ClCC(=O)N1CCN(CC=2C=CC=C(Cl)C2)CC1CC=3C=CC=CC3,DAN-LON-a5fc619e-10,CVD-0000647,DAN-LON-a5f-10,Z4461624350,95.0,0.5,20,1178796-500NL-04,09_B,Racemic or presumed racemic or meso,imperfect stereochemical match for DAN-LON-a5fc619e-10
ClCC(=O)N1CCN(CC=2C=C(Cl)C=CC2CNC(=O)N3CCOCC3)CC1,STU-CHA-6cae54d3-1,CVD-0003519,STU-CHA-6ca-1,Z4461624264,95.05,0.5,20,1178796-500NL-04,10_A,Achiral,
ClCC(=O)N1CCN(CC=2C=C(Cl)C=CC2CNC(=O)N3CCOCC3)CC1,STU-CHA-6cae54d3-1,CVD-0003519,STU-CHA-6ca-1,Z4461624264,95.05,0.5,20,1178796-500NL-04,10_B,Achiral,
ClCC(=O)N1CCN(CC=2C=C(Cl)C=CC2CNC(=O)N3CCOCC3)CC1,STU-CHA-6cae54d3-1,CVD-0003519,STU-CHA-6ca-1,Z4461624264,95.05,0.5,20,1178796-500NL-04,11_A,Achiral,
ClCC(=O)N1CCN(CC=2C=C(Cl)C=CC2CNC(=O)N3CCOCC3)CC1,STU-CHA-6cae54d3-1,CVD-0003519,STU-CHA-6ca-1,Z4461624264,95.05,0.5,20,1178796-500NL-04,11_B,Achiral,
ClCC(=O)N1CCN(CC=2C=C(Cl)C=CC2CNC(=O)N3CCOCC3)CC1,STU-CHA-6cae54d3-1,CVD-0003519,STU-CHA-6ca-1,Z4461624264,95.05,0.5,20,1178796-500NL-04,12_A,Achiral,
ClCC(=O)N1CCN(CC=2C=C(Cl)C=CC2CNC(=O)N3CCOCC3)CC1,STU-CHA-6cae54d3-1,CVD-0003519,STU-CHA-6ca-1,Z4461624264,95.05,0.5,20,1178796-500NL-04,12_B,Achiral,
Cl.ClCC(=O)N1CCC(CC1)C(=O)NC=2C=CC=CC2OC3CCN(CC=4C=CC=CC4)CC3,MED-COV-4280ac29-17,CVD-0002721,MAK-UNK-a79-1_thio_pH,Z4503106041,85.0,0.5,20,1178796-500NL-04,13_A,Achiral,
Cl.ClCC(=O)N1CCC(CC1)C(=O)NC=2C=CC=CC2OC3CCN(CC=4C=CC=CC4)CC3,MED-COV-4280ac29-17,CVD-0002721,MAK-UNK-a79-1_thio_pH,Z4503106041,85.0,0.5,20,1178796-500NL-04,13_B,Achiral,
Cl.ClCC(=O)N1CCC(CC1)C(=O)NC=2C=CC=CC2OC3CCN(CC=4C=CC=CC4)CC3,MED-COV-4280ac29-17,CVD-0002721,MAK-UNK-a79-1_thio_pH,Z4503106041,85.0,0.5,20,1178796-500NL-04,14_A,Achiral,
Cl.ClCC(=O)N1CCC(CC1)C(=O)NC=2C=CC=CC2OC3CCN(CC=4C=CC=CC4)CC3,MED-COV-4280ac29-17,CVD-0002721,MAK-UNK-a79-1_thio_pH,Z4503106041,85.0,0.5,20,1178796-500NL-04,14_B,Achiral,
Cl.ClCC(=O)N1CCC(CC1)C(=O)NC=2C=CC=CC2OC3CCN(CC=4C=CC=CC4)CC3,MED-COV-4280ac29-17,CVD-0002721,MAK-UNK-a79-1_thio_pH,Z4503106041,85.0,0.5,20,1178796-500NL-04,15_A,Achiral,
Cl.ClCC(=O)N1CCC(CC1)C(=O)NC=2C=CC=CC2OC3CCN(CC=4C=CC=CC4)CC3,MED-COV-4280ac29-17,CVD-0002721,MAK-UNK-a79-1_thio_pH,Z4503106041,85.0,0.5,20,1178796-500NL-04,15_B,Achiral,
